,Unnamed: 0.1,Unnamed: 0,Currency,Name,Units per EUR,EUR per unit,Date,Rate,Change
0,20.0,20.0,IDR,Indonesian Rupiah,16227.87597652554,6.16223590472e-05,2022-01-01,,
1,203.0,20.0,IDR,Indonesian Rupiah,16228.939208582273,6.16183218845e-05,2022-01-02,,
2,386.0,20.0,IDR,Indonesian Rupiah,16116.086797366694,6.20498023231e-05,2022-01-03,,
3,569.0,20.0,IDR,Indonesian Rupiah,16172.326153645492,6.18340237823e-05,2022-01-04,,
4,752.0,20.0,IDR,Indonesian Rupiah,16284.899445311215,6.14065811924e-05,2022-01-05,,
5,935.0,20.0,IDR,Indonesian Rupiah,16269.896866325382,6.14632046051e-05,2022-01-06,,
6,1118.0,20.0,IDR,Indonesian Rupiah,16296.866595098974,6.1361488981e-05,2022-01-07,,
7,1301.0,20.0,IDR,Indonesian Rupiah,16303.607338794114,6.13361190084e-05,2022-01-08,,
8,1484.0,20.0,IDR,Indonesian Rupiah,16314.133694587132,6.12965431521e-05,2022-01-09,,
9,1667.0,20.0,IDR,Indonesian Rupiah,16201.73696343873,6.17217772549e-05,2022-01-10,,
10,1850.0,20.0,IDR,Indonesian Rupiah,16250.58103264886,6.15362612568e-05,2022-01-11,,
11,2033.0,20.0,IDR,Indonesian Rupiah,16360.79588927641,6.11217208971e-05,2022-01-12,,
12,2216.0,20.0,IDR,Indonesian Rupiah,16391.795667448772,6.10061289371e-05,2022-01-13,,
13,2399.0,20.0,IDR,Indonesian Rupiah,16324.554779813256,6.1257413356e-05,2022-01-14,,
14,2582.0,20.0,IDR,Indonesian Rupiah,16333.767171226706,6.12228636246e-05,2022-01-15,,
15,2765.0,20.0,IDR,Indonesian Rupiah,16337.622472969882,6.12084164421e-05,2022-01-16,,
16,2948.0,20.0,IDR,Indonesian Rupiah,16349.179676386868,6.11651483312e-05,2022-01-17,,
17,3131.0,20.0,IDR,Indonesian Rupiah,16256.461444833154,6.15140018874e-05,2022-01-18,,
18,3314.0,20.0,IDR,Indonesian Rupiah,16296.725790796614,6.13620191464e-05,2022-01-19,,
19,3497.0,20.0,IDR,Indonesian Rupiah,16243.62602640821,6.1562609135e-05,2022-01-20,,
20,3680.0,20.0,IDR,Indonesian Rupiah,16267.287576122151,6.14730633684e-05,2022-01-21,,
21,3864.0,20.0,IDR,Indonesian Rupiah,16275.685753469985,6.14413435567e-05,2022-01-22,,
22,4048.0,20.0,IDR,Indonesian Rupiah,16285.22999248445,6.1405334801e-05,2022-01-23,,
23,4232.0,20.0,IDR,Indonesian Rupiah,16237.415106977838,6.15861572431e-05,2022-01-24,,
24,4416.0,20.0,IDR,Indonesian Rupiah,16192.707524545538,6.1756194786e-05,2022-01-25,,
25,4600.0,20.0,IDR,Indonesian Rupiah,16178.985236049111,6.18085736163e-05,2022-01-26,,
26,4784.0,20.0,IDR,Indonesian Rupiah,16026.959852820715,6.2394865226e-05,2022-01-27,,
27,4968.0,20.0,IDR,Indonesian Rupiah,16057.665510750438,6.22755530267e-05,2022-01-28,,
28,5152.0,20.0,IDR,Indonesian Rupiah,16035.84948408688,6.23602760173e-05,2022-01-29,,
29,5336.0,20.0,IDR,Indonesian Rupiah,16036.216841379117,6.23588474695e-05,2022-01-30,,
30,5520.0,20.0,IDR,Indonesian Rupiah,16107.225227805357,6.20839397138e-05,2022-01-31,,
31,20.0,20.0,IDR,Indonesian Rupiah,16146.760668880244,6.19319268122e-05,2022-02-01,,
32,204.0,20.0,IDR,Indonesian Rupiah,16221.568187853878,6.16463210226e-05,2022-02-02,,
33,388.0,20.0,IDR,Indonesian Rupiah,16428.763345527022,6.08688541534e-05,2022-02-03,,
34,572.0,20.0,IDR,Indonesian Rupiah,16480.020537175344,6.06795360323e-05,2022-02-04,,
35,756.0,20.0,IDR,Indonesian Rupiah,16468.085185379106,6.07235139206e-05,2022-02-05,,
36,940.0,20.0,IDR,Indonesian Rupiah,16469.612734444432,6.07178818423e-05,2022-02-06,,
37,1124.0,20.0,IDR,Indonesian Rupiah,16463.88227744095,6.07390154489e-05,2022-02-07,,
38,1308.0,20.0,IDR,Indonesian Rupiah,16425.239369960753,6.08819133454e-05,2022-02-08,,
39,1492.0,20.0,IDR,Indonesian Rupiah,16409.196586580594,6.0941435781e-05,2022-02-09,,
40,1676.0,20.0,IDR,Indonesian Rupiah,16461.975856017052,6.07460494867e-05,2022-02-10,,
41,1860.0,20.0,IDR,Indonesian Rupiah,16345.88641515994,6.11774714812e-05,2022-02-11,,
42,2044.0,20.0,IDR,Indonesian Rupiah,16281.372413677773,6.14198836923e-05,2022-02-12,,
43,2228.0,20.0,IDR,Indonesian Rupiah,16283.443543120327,6.1412071553e-05,2022-02-13,,
44,2412.0,20.0,IDR,Indonesian Rupiah,16190.264266361855,6.17655143577e-05,2022-02-14,,
45,2596.0,20.0,IDR,Indonesian Rupiah,16225.72418901695,6.16305311461e-05,2022-02-15,,
46,2780.0,20.0,IDR,Indonesian Rupiah,16238.672171526534,6.15813897489e-05,2022-02-16,,
47,2964.0,20.0,IDR,Indonesian Rupiah,16274.488734452903,6.14458626821e-05,2022-02-17,,
48,3148.0,20.0,IDR,Indonesian Rupiah,16249.237790802234,6.15413481465e-05,2022-02-18,,
49,3332.0,20.0,IDR,Indonesian Rupiah,16240.302181311188,6.15752089361e-05,2022-02-19,,
50,3516.0,20.0,IDR,Indonesian Rupiah,16243.703071607286,6.15623171386e-05,2022-02-20,,
51,3700.0,20.0,IDR,Indonesian Rupiah,16263.399129503734,6.14877610785e-05,2022-02-21,,
52,3884.0,20.0,IDR,Indonesian Rupiah,16304.19581337908,6.13339051766e-05,2022-02-22,,
53,4068.0,20.0,IDR,Indonesian Rupiah,16229.998893794258,6.16142987158e-05,2022-02-23,,
54,4252.0,20.0,IDR,Indonesian Rupiah,16064.26552793658,6.22499670626e-05,2022-02-24,,
55,4436.0,20.0,IDR,Indonesian Rupiah,16163.378910261588,6.18682520252e-05,2022-02-25,,
56,4620.0,20.0,IDR,Indonesian Rupiah,16186.135405844703,6.17812698909e-05,2022-02-26,,
57,4804.0,20.0,IDR,Indonesian Rupiah,16194.413118647124,6.17496906293e-05,2022-02-27,,
58,4988.0,20.0,IDR,Indonesian Rupiah,16146.74078233116,6.19320030884e-05,2022-02-28,,
59,20.0,20.0,IDR,Indonesian Rupiah,15996.155937196225,6.25150194788e-05,2022-03-01,,
60,204.0,20.0,IDR,Indonesian Rupiah,15971.501521466253,6.26115208176e-05,2022-03-02,,
61,388.0,20.0,IDR,Indonesian Rupiah,15902.01336075369,6.28851188408e-05,2022-03-03,,
62,572.0,20.0,IDR,Indonesian Rupiah,15699.112704572684,6.36978674411e-05,2022-03-04,,
63,756.0,20.0,IDR,Indonesian Rupiah,15727.065905082078,6.35846512016e-05,2022-03-05,,
64,940.0,20.0,IDR,Indonesian Rupiah,15732.932835980422,6.35609399992e-05,2022-03-06,,
65,1124.0,20.0,IDR,Indonesian Rupiah,15642.229942029828,6.39295038946e-05,2022-03-07,,
66,1308.0,20.0,IDR,Indonesian Rupiah,15657.167799831104,6.38685113926e-05,2022-03-08,,
67,1492.0,20.0,IDR,Indonesian Rupiah,15847.225284708587,6.31025294355e-05,2022-03-09,,
68,1676.0,20.0,IDR,Indonesian Rupiah,15713.934281897577,6.36377868241e-05,2022-03-10,,
69,1860.0,20.0,IDR,Indonesian Rupiah,15649.817798872364,6.38985075003e-05,2022-03-11,,
70,2044.0,20.0,IDR,Indonesian Rupiah,15614.68673301828,6.40422710425e-05,2022-03-12,,
71,2228.0,20.0,IDR,Indonesian Rupiah,15621.84860045416,6.40129107365e-05,2022-03-13,,
72,2412.0,20.0,IDR,Indonesian Rupiah,15731.049723254357,6.35685486723e-05,2022-03-14,,
73,2596.0,20.0,IDR,Indonesian Rupiah,15719.50763480447,6.36152240408e-05,2022-03-15,,
74,2780.0,20.0,IDR,Indonesian Rupiah,15725.67957382703,6.35902566439e-05,2022-03-16,,
75,2964.0,20.0,IDR,Indonesian Rupiah,15887.319426491616,6.29432803077e-05,2022-03-17,,
76,3148.0,20.0,IDR,Indonesian Rupiah,15836.942468856052,6.3143501466e-05,2022-03-18,,
77,3332.0,20.0,IDR,Indonesian Rupiah,15865.049439160322,6.30316346529e-05,2022-03-19,,
78,3516.0,20.0,IDR,Indonesian Rupiah,15863.583124085457,6.30374608421e-05,2022-03-20,,
79,3700.0,20.0,IDR,Indonesian Rupiah,15821.259262224949,6.3206093992e-05,2022-03-21,,
80,3884.0,20.0,IDR,Indonesian Rupiah,15818.432964498905,6.32173870979e-05,2022-03-22,,
81,4068.0,20.0,IDR,Indonesian Rupiah,15806.742120566272,6.32641433872e-05,2022-03-23,,
82,4252.0,20.0,IDR,Indonesian Rupiah,15814.608049499557,6.32326768308e-05,2022-03-24,,
83,4436.0,20.0,IDR,Indonesian Rupiah,15778.163083919724,6.337873393e-05,2022-03-25,,
84,4620.0,20.0,IDR,Indonesian Rupiah,15750.43403293763,6.34903138484e-05,2022-03-26,,
85,4804.0,20.0,IDR,Indonesian Rupiah,15689.87462394298,6.37353722683e-05,2022-03-27,,
86,4988.0,20.0,IDR,Indonesian Rupiah,15762.694534381146,6.3440929964e-05,2022-03-28,,
87,5172.0,20.0,IDR,Indonesian Rupiah,15945.563601696396,6.27133681178e-05,2022-03-29,,
88,5356.0,20.0,IDR,Indonesian Rupiah,16003.494750410007,6.24863516123e-05,2022-03-30,,
89,5540.0,20.0,IDR,Indonesian Rupiah,15930.864023784086,6.27712344105e-05,2022-03-31,,
90,5724.0,20.0,IDR,Indonesian Rupiah,15865.899183095273,6.30282588121e-05,2022-04-01,,
91,5909.0,20.0,IDR,Indonesian Rupiah,15869.115768954876,6.30154833173e-05,2022-04-02,,
92,6094.0,20.0,IDR,Indonesian Rupiah,15866.227069393848,6.30269562906e-05,2022-04-03,,
93,6279.0,20.0,IDR,Indonesian Rupiah,15755.469019523543,6.3470024203e-05,2022-04-04,,
94,6464.0,20.0,IDR,Indonesian Rupiah,15677.363166720816,6.37862368413e-05,2022-04-05,,
95,6649.0,20.0,IDR,Indonesian Rupiah,15689.973381781574,6.37349710969e-05,2022-04-06,,
96,6834.0,20.0,IDR,Indonesian Rupiah,15664.030108582454,6.38405310171e-05,2022-04-07,,
97,7019.0,20.0,IDR,Indonesian Rupiah,15624.855597354655,6.40005914787e-05,2022-04-08,,
98,7204.0,20.0,IDR,Indonesian Rupiah,15617.249408912636,6.40317621763e-05,2022-04-09,,
99,7389.0,20.0,IDR,Indonesian Rupiah,15619.019891215972,6.40245039038e-05,2022-04-10,,
100,7574.0,20.0,IDR,Indonesian Rupiah,15621.263773200588,6.40153072452e-05,2022-04-11,,
101,7759.0,20.0,IDR,Indonesian Rupiah,15589.724021327456,6.41448173573e-05,2022-04-12,,
102,7944.0,20.0,IDR,Indonesian Rupiah,15592.398108207726,6.41338165598e-05,2022-04-13,,
103,8129.0,20.0,IDR,Indonesian Rupiah,15524.003177067943,6.44163743458e-05,2022-04-14,,
104,8314.0,20.0,IDR,Indonesian Rupiah,15520.53489626256,6.44307690864e-05,2022-04-15,,
105,8499.0,20.0,IDR,Indonesian Rupiah,15516.99715177192,6.44454587584e-05,2022-04-16,,
106,8684.0,20.0,IDR,Indonesian Rupiah,15515.740995562806,6.44506762703e-05,2022-04-17,,
107,8869.0,20.0,IDR,Indonesian Rupiah,15482.197270560597,6.45903150905e-05,2022-04-18,,
108,9054.0,20.0,IDR,Indonesian Rupiah,15489.634902874255,6.4559300866e-05,2022-04-19,,
109,9239.0,20.0,IDR,Indonesian Rupiah,15584.822882016168,6.41649897191e-05,2022-04-20,,
110,9424.0,20.0,IDR,Indonesian Rupiah,15560.823580031538,6.42639507386e-05,2022-04-21,,
111,9609.0,20.0,IDR,Indonesian Rupiah,15574.70821908078,6.42066603067e-05,2022-04-22,,
112,9794.0,20.0,IDR,Indonesian Rupiah,15515.662219767531,6.44510034979e-05,2022-04-23,,
113,9979.0,20.0,IDR,Indonesian Rupiah,15553.252203197751,6.42952346515e-05,2022-04-24,,
114,10164.0,20.0,IDR,Indonesian Rupiah,15474.28172849989,6.46233549023e-05,2022-04-25,,
115,10349.0,20.0,IDR,Indonesian Rupiah,15369.330776471596,6.50646416908e-05,2022-04-26,,
116,10534.0,20.0,IDR,Indonesian Rupiah,15229.789740898366,6.56607882979e-05,2022-04-27,,
117,10719.0,20.0,IDR,Indonesian Rupiah,15228.61538754777,6.56658517239e-05,2022-04-28,,
118,10904.0,20.0,IDR,Indonesian Rupiah,15316.6265803818,6.52885277807e-05,2022-04-29,,
119,11089.0,20.0,IDR,Indonesian Rupiah,15273.892797448889,6.54711940997e-05,2022-04-30,,
120,11274.0,20.0,IDR,Indonesian Rupiah,15273.47209807532,6.54729974676e-05,2022-05-01,,
121,11459.0,20.0,IDR,Indonesian Rupiah,15268.546977274244,6.54941168592e-05,2022-05-02,,
122,11644.0,20.0,IDR,Indonesian Rupiah,15233.723665438354,6.5643832195e-05,2022-05-03,,
123,11829.0,20.0,IDR,Indonesian Rupiah,15238.40061446536,6.562368488e-05,2022-05-04,,
124,12014.0,20.0,IDR,Indonesian Rupiah,15211.963848154372,6.57377318262e-05,2022-05-05,,
125,12199.0,20.0,IDR,Indonesian Rupiah,15307.558835863878,6.5327202771e-05,2022-05-06,,
126,12384.0,20.0,IDR,Indonesian Rupiah,15281.56146015402,6.54383390471e-05,2022-05-07,,
127,12569.0,20.0,IDR,Indonesian Rupiah,15296.500718567764,6.53744289885e-05,2022-05-08,,
128,12754.0,20.0,IDR,Indonesian Rupiah,15326.79032167678,6.52452326294e-05,2022-05-09,,
129,12939.0,20.0,IDR,Indonesian Rupiah,15305.144183454162,6.53375092722e-05,2022-05-10,,
130,13124.0,20.0,IDR,Indonesian Rupiah,15287.552599545212,6.54126939867e-05,2022-05-11,,
131,13309.0,20.0,IDR,Indonesian Rupiah,15197.11155655984,6.58019779797e-05,2022-05-12,,
132,13494.0,20.0,IDR,Indonesian Rupiah,15239.15584624249,6.56204326597e-05,2022-05-13,,
133,13679.0,20.0,IDR,Indonesian Rupiah,15219.990061799122,6.57030652411e-05,2022-05-14,,
134,13864.0,20.0,IDR,Indonesian Rupiah,15235.70165396075,6.56353099261e-05,2022-05-15,,
135,14049.0,20.0,IDR,Indonesian Rupiah,15293.13212463838,6.53888289102e-05,2022-05-16,,
136,14234.0,20.0,IDR,Indonesian Rupiah,15432.688837746697,6.47975223574e-05,2022-05-17,,
137,14419.0,20.0,IDR,Indonesian Rupiah,15445.509905028372,6.4743734985e-05,2022-05-18,,
138,14604.0,20.0,IDR,Indonesian Rupiah,15493.86653388592,6.4541668654e-05,2022-05-19,,
139,14789.0,20.0,IDR,Indonesian Rupiah,15493.417318120391,6.45435399736e-05,2022-05-20,,
140,14974.0,20.0,IDR,Indonesian Rupiah,15486.2197672642,6.45735379601e-05,2022-05-21,,
141,15159.0,20.0,IDR,Indonesian Rupiah,15484.228379484644,6.45818426008e-05,2022-05-22,,
142,15344.0,20.0,IDR,Indonesian Rupiah,15607.971605639024,6.40698243991e-05,2022-05-23,,
143,15529.0,20.0,IDR,Indonesian Rupiah,15726.415252731293,6.3587281903e-05,2022-05-24,,
144,15714.0,20.0,IDR,Indonesian Rupiah,15587.020357247577,6.41559436685e-05,2022-05-25,,
145,15899.0,20.0,IDR,Indonesian Rupiah,15665.191613534444,6.38357975229e-05,2022-05-26,,
146,16084.0,20.0,IDR,Indonesian Rupiah,15577.248057169889,6.41961915435e-05,2022-05-27,,
147,16269.0,20.0,IDR,Indonesian Rupiah,15646.675429460118,6.39113404319e-05,2022-05-28,,
148,16454.0,20.0,IDR,Indonesian Rupiah,15638.59620406145,6.39443583651e-05,2022-05-29,,
149,16639.0,20.0,IDR,Indonesian Rupiah,15689.360496131669,6.37374608255e-05,2022-05-30,,
150,16824.0,20.0,IDR,Indonesian Rupiah,15611.79190985802,6.40541461078e-05,2022-05-31,,
151,17009.0,20.0,IDR,Indonesian Rupiah,15501.441918415452,6.45101278489e-05,2022-06-01,,
152,17194.0,20.0,IDR,Indonesian Rupiah,15459.96286871402,6.46832083939e-05,2022-06-02,,
153,17379.0,20.0,IDR,Indonesian Rupiah,15476.149737666145,6.46155547051e-05,2022-06-03,,
154,17564.0,20.0,IDR,Indonesian Rupiah,15475.884961746982,6.46166602085e-05,2022-06-04,,
155,17749.0,20.0,IDR,Indonesian Rupiah,15473.005300944056,6.46286859307e-05,2022-06-05,,
156,17934.0,20.0,IDR,Indonesian Rupiah,15437.405427009857,6.47777247755e-05,2022-06-06,,
157,18119.0,20.0,IDR,Indonesian Rupiah,15469.627887550334,6.46427960174e-05,2022-06-07,,
158,18304.0,20.0,IDR,Indonesian Rupiah,15562.67978280231,6.4256285804e-05,2022-06-08,,
159,18490.0,20.0,IDR,Indonesian Rupiah,15550.082328105109,6.43083411971e-05,2022-06-09,,
160,18676.0,20.0,IDR,Indonesian Rupiah,15390.367841738424,6.49757049528e-05,2022-06-10,,
161,18862.0,20.0,IDR,Indonesian Rupiah,15331.633968014885,6.52246200298e-05,2022-06-11,,
162,19048.0,20.0,IDR,Indonesian Rupiah,15339.56111808964,6.5190913371e-05,2022-06-12,,
163,19234.0,20.0,IDR,Indonesian Rupiah,15378.935762633144,6.5024005265e-05,2022-06-13,,
164,19420.0,20.0,IDR,Indonesian Rupiah,15353.496008014408,6.51317458563e-05,2022-06-14,,
165,19606.0,20.0,IDR,Indonesian Rupiah,15344.1618490686,6.51713667932e-05,2022-06-15,,
166,19792.0,20.0,IDR,Indonesian Rupiah,15624.073941242012,6.40037933614e-05,2022-06-16,,
167,19978.0,20.0,IDR,Indonesian Rupiah,15544.482647296229,6.43315073708e-05,2022-06-17,,
168,20164.0,20.0,IDR,Indonesian Rupiah,15565.167567674309,6.42460157047e-05,2022-06-18,,
169,20350.0,20.0,IDR,Indonesian Rupiah,15536.180343096285,6.43658851735e-05,2022-06-19,,
170,20536.0,20.0,IDR,Indonesian Rupiah,15619.992426424804,6.40205175969e-05,2022-06-20,,
171,20722.0,20.0,IDR,Indonesian Rupiah,15641.03451117342,6.39343899718e-05,2022-06-21,,
